month,fixed_asset_investment_ytd_yoy_pct,source,source_url,is_filled
2016-07-01,8.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2016-08-01,8.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2016-09-01,8.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2016-10-01,8.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2016-11-01,8.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2016-12-01,8.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-01-01,8.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-02-01,8.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-03-01,9.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-04-01,8.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-05-01,8.6,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-06-01,8.6,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-07-01,8.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-08-01,7.8,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-09-01,7.5,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-10-01,7.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-11-01,7.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2017-12-01,7.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-01-01,7.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-02-01,7.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-03-01,7.5,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-04-01,7.0,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-05-01,6.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-06-01,6.0,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-07-01,5.5,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-08-01,5.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-09-01,5.4,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-10-01,5.7,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-11-01,5.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2018-12-01,5.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-01-01,6.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-02-01,6.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-03-01,6.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-04-01,6.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-05-01,5.6,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-06-01,5.8,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-07-01,5.7,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-08-01,5.5,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-09-01,5.4,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-10-01,5.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-11-01,5.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2019-12-01,5.4,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-01-01,-24.5,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-02-01,-24.5,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-03-01,-16.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-04-01,-10.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-05-01,-6.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-06-01,-3.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-07-01,-1.6,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-08-01,-0.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-09-01,0.8,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-10-01,1.8,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-11-01,2.6,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2020-12-01,2.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-01-01,35.0,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-02-01,35.0,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-03-01,25.6,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-04-01,19.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-05-01,15.4,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-06-01,12.6,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-07-01,10.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-08-01,8.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-09-01,7.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-10-01,6.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-11-01,5.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2021-12-01,4.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-01-01,4.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,True
2022-02-01,12.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-03-01,9.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-04-01,6.8,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-05-01,6.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-06-01,6.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-07-01,5.7,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-08-01,5.8,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-09-01,5.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-10-01,5.8,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-11-01,5.3,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2022-12-01,5.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-01-01,5.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,True
2023-02-01,5.5,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-03-01,5.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-04-01,4.7,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-05-01,4.0,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-06-01,3.8,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-07-01,3.4,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-08-01,3.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-09-01,3.1,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-10-01,2.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-11-01,2.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2023-12-01,3.0,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2024-01-01,3.0,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,True
2024-02-01,4.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2024-03-01,4.5,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2024-04-01,4.2,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2024-05-01,4.0,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2024-06-01,3.9,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2024-07-01,3.6,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2024-08-01,3.4,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
2024-09-01,3.4,Trading Economics public chart / China Fixed Asset Investment,https://tradingeconomics.com/china/fixed-asset-investment,False
