month,social_financing_100m_cny,source,source_url,is_filled
2016-07-01,4791.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2016-08-01,14605.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2016-09-01,17115.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2016-10-01,8865.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2016-11-01,18328.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2016-12-01,16260.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-01-01,37720.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-02-01,11055.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-03-01,25472.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-04-01,19559.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-05-01,17812.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-06-01,25886.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-07-01,21188.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-08-01,20486.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-09-01,25439.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-10-01,15861.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-11-01,22956.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2017-12-01,18103.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-01-01,31417.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-02-01,12064.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-03-01,17091.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-04-01,22243.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-05-01,11234.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-06-01,20373.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-07-01,18382.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-08-01,24078.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-09-01,23061.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-10-01,9538.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-11-01,16127.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2018-12-01,19311.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-01-01,46791.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-02-01,9665.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-03-01,29602.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-04-01,16710.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-05-01,17124.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-06-01,26243.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-07-01,12872.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-08-01,21956.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-09-01,25142.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-10-01,8680.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-11-01,19937.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2019-12-01,22013.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-01-01,50535.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-02-01,8737.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-03-01,51838.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-04-01,31027.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-05-01,31866.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-06-01,34681.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-07-01,16928.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-08-01,35853.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-09-01,34693.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-10-01,13929.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-11-01,21355.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2020-12-01,17192.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-01-01,51884.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-02-01,17243.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-03-01,33762.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-04-01,18570.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-05-01,19522.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-06-01,37017.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-07-01,10752.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-08-01,29893.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-09-01,29026.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-10-01,16176.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-11-01,25983.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
2021-12-01,23682.0,Trading Economics public chart / China Total Social Financing,https://tradingeconomics.com/china/total-social-financing,False
